dtype	Disease	DiseaseID	starScore	UniprotID
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	A3KFT3
JensenLab Text Mining	Irritable bowel syndrome	DOID:9778	2.3	A5X5Y0
JensenLab Text Mining	Dyspepsia	DOID:2321	1.7	A5X5Y0
JensenLab Experiment DistiLD	Malaria	DOID:12365	2	A6NGY5
JensenLab Experiment DistiLD	Hemolytic anemia	DOID:583	2	A6NGY5
JensenLab Text Mining	Cystic fibrosis	DOID:1485	2.6	A8K7I4
JensenLab Text Mining	Asthma	DOID:2841	2.3	A8K7I4
JensenLab Text Mining	Schizoaffective disorder	DOID:5418	1.8	A8MPY1
JensenLab Text Mining	Succinic semialdehyde dehydrogenase deficiency	DOID:0060175	1.6	A8MPY1
JensenLab Text Mining	Myopia	DOID:11830	1.5	A8MPY1
JensenLab Experiment DistiLD	Breast cancer	DOID:1612	2	A8MYU2
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	A8MYU2
JensenLab Experiment DistiLD	Bipolar disorder	DOID:3312	1	A8MYU2
JensenLab Experiment DistiLD	Type 2 diabetes mellitus	DOID:9352	1	A8MYU2
JensenLab Text Mining	Male infertility	DOID:12336	1.9	A8MYU2
JensenLab Knowledge GHR	thrombocytopenia-absent radius syndrome	DOID:14699	5	B7ZAQ6
JensenLab Experiment DistiLD	Gout	DOID:13189	2	O00141
JensenLab Experiment DistiLD	Melanoma	DOID:1909	2	O00141
JensenLab Experiment DistiLD	Dental caries	DOID:216	1	O00141
JensenLab Text Mining	Hypertension	DOID:10763	2	O00141
JensenLab Text Mining	Kidney disease	DOID:557	2	O00141
JensenLab Text Mining	Cancer	DOID:162	1.7	O00141
JensenLab Text Mining	Diabetes mellitus	DOID:9351	1.6	O00141
JensenLab Knowledge UniProtKB-KW	Chronic progressive external ophthalmoplegia	DOID:12558	4	O00142
JensenLab Text Mining	Spinocerebellar ataxia type 31	DOID:0050980	2.9	O00142
JensenLab Text Mining	Alpers syndrome	DOID:1442	1.9	O00142
JensenLab Text Mining	Cerebellar ataxia	DOID:0050753	1.9	O00142
JensenLab Text Mining	dentatorubral-pallidoluysian atrophy	DOID:0060162	1.8	O00142
JensenLab Text Mining	Williams-Beuren syndrome	DOID:1928	1.9	O00144
JensenLab Text Mining	Periodic limb movement disorder	DOID:9207	3.4	O00168
JensenLab Text Mining	Restless legs syndrome	DOID:0050425	3.3	O00168
JensenLab Text Mining	Obstructive sleep apnea	DOID:0050848	1.9	O00168
JensenLab Text Mining	Malaria	DOID:12365	1.7	O00168
JensenLab Text Mining	Narcolepsy	DOID:8986	1.7	O00168
JensenLab Text Mining	Root caries	DOID:14089	1.7	O00168
JensenLab Text Mining	REM sleep behavior disorder	DOID:9091	1.6	O00168
JensenLab Experiment COSMIC	Lung cancer	DOID:1324	1	O00222
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O00222
JensenLab Experiment DistiLD	Acquired immunodeficiency syndrome	DOID:635	1	O00222
JensenLab Text Mining	Epilepsy	DOID:1826	1.7	O00222
JensenLab Text Mining	Schizophrenia	DOID:5419	1.7	O00222
JensenLab Text Mining	Alcohol dependence	DOID:0050741	1.6	O00222
JensenLab Experiment DistiLD	Attention deficit hyperactivity disorder	DOID:1094	1	O00238
JensenLab Text Mining	Acromesomelic dysplasia	DOID:0080049	2	O00238
JensenLab Text Mining	Brachydactyly	DOID:0050581	1.9	O00238
JensenLab Text Mining	Fibrodysplasia ossificans progressiva	DOID:13374	1.8	O00238
JensenLab Text Mining	Syndactyly	DOID:11193	1.7	O00238
JensenLab Text Mining	Multiple synostoses syndrome	DOID:0050794	1.7	O00238
JensenLab Text Mining	Proximal symphalangism	DOID:0050788	1.5	O00238
JensenLab Text Mining	Ichthyosis vulgaris	DOID:1702	1.8	O00270
JensenLab Text Mining	Glycogen storage disease	DOID:2747	2.9	O00299
JensenLab Text Mining	Gastroenteritis	DOID:2326	2.1	O00299
JensenLab Text Mining	Diabetes mellitus	DOID:9351	1.8	O00299
JensenLab Text Mining	Diarrhea	DOID:13250	1.8	O00299
JensenLab Text Mining	Glucosephosphate dehydrogenase deficiency	DOID:2862	1.7	O00299
JensenLab Text Mining	Hyperglycemia	DOID:4195	1.7	O00299
JensenLab Text Mining	Anemia	DOID:2355	1.7	O00299
JensenLab Text Mining	Neutropenia	DOID:1227	1.7	O00299
JensenLab Text Mining	Favism	DOID:13628	1.6	O00299
JensenLab Knowledge UniProtKB-KW	Epilepsy	DOID:1826	4	O00305
JensenLab Knowledge GHR	Juvenile myoclonic epilepsy	DOID:4890	5	O00305
JensenLab Knowledge GHR	Episodic ataxia	DOID:963	5	O00305
JensenLab Text Mining	Cancer	DOID:162	1.7	O00311
JensenLab Text Mining	Glaucoma	DOID:1686	1.6	O00311
JensenLab Text Mining	Schizophrenia	DOID:5419	2.8	O00329
JensenLab Text Mining	Atrial fibrillation	DOID:0060224	2	O00329
JensenLab Text Mining	Progressive supranuclear palsy	DOID:678	1.7	O00329
JensenLab Text Mining	Multiple system atrophy	DOID:4752	1.7	O00329
JensenLab Text Mining	Brugada syndrome	DOID:0050451	1.7	O00329
JensenLab Text Mining	Cancer	DOID:162	1.6	O00329
JensenLab Text Mining	Long QT syndrome	DOID:2843	1.6	O00329
JensenLab Text Mining	Molluscum contagiosum	DOID:8867	1.6	O00421
JensenLab Experiment COSMIC	Carcinoma	DOID:305	1	O00443
JensenLab Experiment DistiLD	Schizophrenia	DOID:5419	2	O00443
JensenLab Text Mining	Myocardial infarction	DOID:5844	3.2	O00443
JensenLab Text Mining	Myopathy	DOID:423	3	O00443
JensenLab Text Mining	Neuroleptic malignant syndrome	DOID:14464	2.9	O00443
JensenLab Text Mining	Malignant hyperthermia	DOID:8545	2.5	O00443
JensenLab Text Mining	Heart disease	DOID:114	2.4	O00443
JensenLab Text Mining	Kidney failure	DOID:1074	2.2	O00443
