etype	Tissue	BrendaID	starScore	UniprotID
JensenLab Experiment HPA	Connective tissue	BTO:0000421	1	A4D2G3
JensenLab Experiment HPA	Bone marrow	BTO:0000141	1	A5X5Y0
JensenLab Experiment HPA	Testis	BTO:0001363	1	A6NF89
JensenLab Text Mining	Bile	BTO:0000121	1.8	A6NGY5
JensenLab Knowledge UniProtKB-RC	Testis	BTO:0001363	4	A6NHG9
JensenLab Knowledge UniProtKB-RC	Testis	BTO:0001363	4	A6NKK0
JensenLab Knowledge UniProtKB-RC	Testis	BTO:0001363	4	A6NND4
JensenLab Knowledge UniProtKB-RC	Colon	BTO:0000269	4	A8K7I4
JensenLab Knowledge UniProtKB-RC	Small intestine	BTO:0000651	4	A8K7I4
JensenLab Experiment HPA	Vermiform appendix	BTO:0000084	3	A8K7I4
JensenLab Experiment HPA	Duodenum	BTO:0000365	2	A8K7I4
JensenLab Experiment HPM	Gut	BTO:0000545	2	A8K7I4
JensenLab Experiment UniGene	Intestine	BTO:0000648	4	A8K7I4
JensenLab Experiment HPA	Rectum	BTO:0001158	3	A8K7I4
JensenLab Experiment Exon array	Adipose tissue	BTO:0001487	1	A8K7I4
JensenLab Text Mining	Lung	BTO:0000763	2.2	A8K7I4
JensenLab Text Mining	NCI-H522 cell	BTO:0003536	1.8	A8K7I4
JensenLab Text Mining	LIM1863 cell	BTO:0001918	1.7	A8K7I4
JensenLab Text Mining	Frt	CLDB:0001388	1.6	A8K7I4
JensenLab Text Mining	CFPAC-1 cell	BTO:0004738	1.6	A8K7I4
JensenLab Text Mining	Submucosal gland	BTO:0003751	1.5	A8K7I4
JensenLab Text Mining	Scolopidium	BTO:0005882	2.7	A8MPY1
JensenLab Text Mining	Retina	BTO:0001175	2.4	A8MPY1
JensenLab Text Mining	Peripheral nerve	BTO:0001027	2.1	A8MPY1
JensenLab Text Mining	Neuron	BTO:0000938	2	A8MPY1
JensenLab Text Mining	BTO:0000964	BTO:0000964	1.8	A8MPY1
JensenLab Text Mining	Brain	BTO:0000142	1.7	A8MPY1
JensenLab Experiment UniGene	Testis	BTO:0001363	2	A8MYU2
JensenLab Text Mining	Semen	BTO:0001230	2.4	A8MYU2
JensenLab Text Mining	Germ cell	BTO:0000535	1.6	A8MYU2
JensenLab Text Mining	Velum	BTO:0005405	1.6	A8MYU2
JensenLab Text Mining	mt2	CLDB:0003597	1.5	A8MYU2
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	B7ZAQ6
JensenLab Knowledge UniProtKB-RC	BTO:0000379	BTO:0000379	4	B7ZAQ6
JensenLab Knowledge UniProtKB-RC	Lung	BTO:0000763	4	B7ZAQ6
JensenLab Knowledge UniProtKB-RC	Lung fibroblast	BTO:0000764	4	B7ZAQ6
JensenLab Knowledge UniProtKB-RC	Gastric mucosa	BTO:0001308	4	B7ZAQ6
JensenLab Knowledge UniProtKB-RC	Testis	BTO:0001363	4	B7ZAQ6
JensenLab Experiment UniGene	Kidney	BTO:0000671	1	B7ZAQ6
JensenLab Experiment HPA-RNA	Duodenum	BTO:0000365	1	B7ZAQ6
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00141
JensenLab Knowledge UniProtKB-RC	Cervical carcinoma cell	BTO:0000180	4	O00141
JensenLab Knowledge UniProtKB-RC	Glioblastoma cell	BTO:0000527	4	O00141
JensenLab Knowledge UniProtKB-RC	Hair follicle	BTO:0000554	4	O00141
JensenLab Knowledge UniProtKB-RC	Hippocampus	BTO:0000601	4	O00141
JensenLab Knowledge UniProtKB-RC	Skin	BTO:0001253	4	O00141
JensenLab Knowledge UniProtKB-RC	Uterine cervix	BTO:0001421	4	O00141
JensenLab Experiment GNF	Adrenal cortex	BTO:0000045	1	O00141
JensenLab Experiment HPA-RNA	Adrenal gland	BTO:0000047	2	O00141
JensenLab Experiment Exon array	Vermiform appendix	BTO:0000084	1	O00141
JensenLab Experiment UniGene	Blood	BTO:0000089	3	O00141
JensenLab Experiment HPA-RNA	Bone marrow	BTO:0000141	1	O00141
JensenLab Experiment HPA-RNA	Cardiac muscle	BTO:0000199	1	O00141
JensenLab Experiment GNF	Caudate nucleus	BTO:0000211	1	O00141
JensenLab Experiment HPA-RNA	Cerebral cortex	BTO:0000233	1	O00141
JensenLab Experiment GNF	Colon	BTO:0000269	1	O00141
JensenLab Experiment Exon array	Occipital lobe	BTO:0000293	1	O00141
JensenLab Experiment HPA-RNA	Duodenum	BTO:0000365	1	O00141
JensenLab Experiment UniGene	Eye	BTO:0000439	2	O00141
JensenLab Experiment Exon array	Frontal lobe	BTO:0000484	1	O00141
JensenLab Experiment HPA-RNA	Gall bladder	BTO:0000493	2	O00141
JensenLab Experiment GNF	Hypothalamus	BTO:0000614	1	O00141
JensenLab Experiment Exon array	Corpus callosum	BTO:0000615	1	O00141
JensenLab Experiment UniGene	Intestine	BTO:0000648	2	O00141
JensenLab Experiment GNF	Small intestine	BTO:0000651	1	O00141
JensenLab Experiment UniGene	Kidney	BTO:0000671	3	O00141
JensenLab Experiment UniGene	Liver	BTO:0000759	2	O00141
JensenLab Experiment UniGene	Lung	BTO:0000763	3	O00141
JensenLab Experiment GNF	Lymph node	BTO:0000784	1	O00141
JensenLab Experiment GNF	Monocyte	BTO:0000876	2	O00141
JensenLab Experiment HPA-RNA	Esophagus	BTO:0000959	1	O00141
JensenLab Experiment GNF	Olfactory bulb	BTO:0000961	1	O00141
JensenLab Experiment Exon array	Ovary	BTO:0000975	2	O00141
JensenLab Experiment HPA-RNA	Pancreas	BTO:0000988	1	O00141
JensenLab Experiment GNF	Pancreatic islet	BTO:0000991	1	O00141
JensenLab Experiment UniGene	Parathyroid gland	BTO:0000997	1	O00141
JensenLab Experiment Exon array	Parietal lobe	BTO:0001001	1	O00141
JensenLab Experiment GNF	Amygdala	BTO:0001042	1	O00141
JensenLab Experiment GNF	Pineal gland	BTO:0001067	1	O00141
JensenLab Experiment UniGene	Placenta	BTO:0001078	3	O00141
JensenLab Experiment UniGene	Vascular system	BTO:0001085	4	O00141
JensenLab Experiment UniGene	Mouth	BTO:0001090	2	O00141
JensenLab Experiment Exon array	Skeletal muscle	BTO:0001103	1	O00141
JensenLab Experiment HPA-RNA	Prostate gland	BTO:0001129	1	O00141
JensenLab Experiment GNF	Retina	BTO:0001175	1	O00141
JensenLab Experiment HPA-RNA	Salivary gland	BTO:0001203	1	O00141
JensenLab Experiment Exon array	Spinal cord	BTO:0001279	2	O00141
JensenLab Experiment HPA-RNA	Spleen	BTO:0001281	1	O00141
JensenLab Experiment Exon array	Stomach	BTO:0001307	2	O00141
JensenLab Experiment Exon array	Temporal lobe	BTO:0001355	1	O00141
JensenLab Experiment UniGene	Testis	BTO:0001363	3	O00141
JensenLab Experiment GNF	Thalamus	BTO:0001365	1	O00141
JensenLab Experiment UniGene	Thymus	BTO:0001374	1	O00141
JensenLab Experiment GNF	Thyroid gland	BTO:0001379	1	O00141
JensenLab Experiment GNF	Tonsil	BTO:0001387	1	O00141
JensenLab Experiment HPA-RNA	Urinary bladder	BTO:0001418	1	O00141
JensenLab Experiment HPA-RNA	Uterus	BTO:0001424	1	O00141
JensenLab Experiment GNF	Parenchyma	BTO:0001539	1	O00141
JensenLab Experiment GNF	Dendritic cell	BTO:0002042	1	O00141
JensenLab Experiment GNF	Prefrontal cortex	BTO:0002807	1	O00141
JensenLab Text Mining	BTO:0000964	BTO:0000964	2.4	O00141
JensenLab Text Mining	Collecting duct cell line	BTO:0002658	1.7	O00141
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00142
JensenLab Knowledge UniProtKB-RC	Liver	BTO:0000759	4	O00142
JensenLab Knowledge UniProtKB-RC	Testis	BTO:0001363	4	O00142
JensenLab Experiment HPA	Adrenal gland	BTO:0000047	1	O00142
JensenLab Experiment HPA-RNA	Cerebral cortex	BTO:0000233	1	O00142
JensenLab Experiment RNA-seq	Colon	BTO:0000269	1	O00142
JensenLab Experiment HPA	Duodenum	BTO:0000365	1	O00142
JensenLab Experiment HPA	Gall bladder	BTO:0000493	1	O00142
JensenLab Experiment RNA-seq	Heart	BTO:0000562	1	O00142
JensenLab Experiment RNA-seq	Hypothalamus	BTO:0000614	1	O00142
JensenLab Experiment HPA	Kidney	BTO:0000671	1	O00142
JensenLab Experiment HPA	Lung	BTO:0000763	1	O00142
JensenLab Experiment HPA	Ovary	BTO:0000975	1	O00142
JensenLab Experiment RNA-seq	Skeletal muscle	BTO:0001103	1	O00142
JensenLab Experiment HPA-RNA	Prostate gland	BTO:0001129	1	O00142
JensenLab Experiment HPA-RNA	Salivary gland	BTO:0001203	1	O00142
JensenLab Experiment HPA-RNA	Spleen	BTO:0001281	1	O00142
JensenLab Experiment HPA-RNA	Thyroid gland	BTO:0001379	1	O00142
JensenLab Experiment HPA-RNA	Urinary bladder	BTO:0001418	1	O00142
JensenLab Experiment RNA-seq	Adipose tissue	BTO:0001487	1	O00142
JensenLab Text Mining	Cerebellar Purkinje cell	BTO:0001011	1.7	O00142
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00144
JensenLab Knowledge UniProtKB-RC	Gastroesophageal cancer cell	BTO:0004365	4	O00144
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00155
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00168
JensenLab Knowledge UniProtKB-RC	Heart	BTO:0000562	4	O00168
JensenLab Knowledge UniProtKB-RC	Lung	BTO:0000763	4	O00168
JensenLab Knowledge UniProtKB-RC	Testis	BTO:0001363	4	O00168
JensenLab Experiment Exon array	Vermiform appendix	BTO:0000084	1	O00168
JensenLab Experiment Exon array	Cerebellum	BTO:0000232	2	O00168
JensenLab Experiment Exon array	Occipital lobe	BTO:0000293	1	O00168
JensenLab Experiment Exon array	Frontal lobe	BTO:0000484	2	O00168
JensenLab Experiment RNA-seq	Hypothalamus	BTO:0000614	1	O00168
JensenLab Experiment Exon array	Corpus callosum	BTO:0000615	2	O00168
JensenLab Experiment Exon array	Kidney	BTO:0000671	1	O00168
JensenLab Experiment Exon array	Liver	BTO:0000759	3	O00168
JensenLab Experiment Exon array	Ovary	BTO:0000975	1	O00168
JensenLab Experiment Exon array	Parietal lobe	BTO:0001001	2	O00168
JensenLab Experiment Exon array	Skeletal muscle	BTO:0001103	3	O00168
JensenLab Experiment Exon array	Spinal cord	BTO:0001279	2	O00168
JensenLab Experiment Exon array	Temporal lobe	BTO:0001355	2	O00168
JensenLab Experiment Exon array	Adipose tissue	BTO:0001487	2	O00168
JensenLab Text Mining	Muscle	BTO:0000887	2.1	O00168
JensenLab Text Mining	BTO:0000964	BTO:0000964	1.7	O00168
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00180
JensenLab Knowledge UniProtKB-RC	Kidney	BTO:0000671	4	O00180
JensenLab Experiment HPA	Vermiform appendix	BTO:0000084	1	O00180
JensenLab Experiment HPA-RNA	Cardiac muscle	BTO:0000199	1	O00180
JensenLab Experiment Exon array	Cerebellum	BTO:0000232	1	O00180
JensenLab Experiment HPA-RNA	Cerebral cortex	BTO:0000233	1	O00180
JensenLab Experiment HPA	Colon	BTO:0000269	1	O00180
JensenLab Experiment HPA	Duodenum	BTO:0000365	1	O00180
JensenLab Experiment HPA	Gall bladder	BTO:0000493	1	O00180
JensenLab Experiment HPA-RNA	Esophagus	BTO:0000959	1	O00180
JensenLab Experiment HPA	Oviduct	BTO:0000980	1	O00180
JensenLab Experiment HPA	Pancreas	BTO:0000988	1	O00180
JensenLab Experiment GNF	Amygdala	BTO:0001042	1	O00180
JensenLab Experiment HPA	Placenta	BTO:0001078	1	O00180
JensenLab Experiment HPA	Rectum	BTO:0001158	1	O00180
JensenLab Experiment HPA-RNA	Stomach	BTO:0001307	1	O00180
JensenLab Experiment HPA	Testis	BTO:0001363	1	O00180
JensenLab Experiment GNF	Cerebral peduncle	BTO:0004676	1	O00180
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00222
JensenLab Knowledge UniProtKB-RC	Colon	BTO:0000269	4	O00222
JensenLab Experiment RNA-seq	Hypothalamus	BTO:0000614	1	O00222
JensenLab Experiment HPA	Kidney	BTO:0000671	1	O00222
JensenLab Experiment HPM	Liver	BTO:0000759	1	O00222
JensenLab Experiment HPA	Tonsil	BTO:0001387	1	O00222
JensenLab Experiment HPA	Urinary bladder	BTO:0001418	1	O00222
JensenLab Text Mining	Neuron	BTO:0000938	1.6	O00222
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00238
JensenLab Knowledge UniProtKB-RC	Ovary	BTO:0000975	4	O00238
JensenLab Knowledge UniProtKB-RC	Peripheral nervous system	BTO:0001028	4	O00238
JensenLab Knowledge UniProtKB-RC	Uterus	BTO:0001424	4	O00238
JensenLab Knowledge UniProtKB-RC	Prostate gland epithelium	BTO:0002397	4	O00238
JensenLab Experiment HPA	Vermiform appendix	BTO:0000084	1	O00238
JensenLab Experiment UniGene	Breast	BTO:0000149	1	O00238
JensenLab Experiment HPA	Cerebellum	BTO:0000232	1	O00238
JensenLab Experiment RNA-seq	Hypothalamus	BTO:0000614	1	O00238
JensenLab Experiment HPA	Liver	BTO:0000759	1	O00238
JensenLab Experiment HPA	Pancreas	BTO:0000988	1	O00238
JensenLab Experiment HPA-RNA	Prostate gland	BTO:0001129	1	O00238
JensenLab Text Mining	Mesenchyme	BTO:0001393	1.6	O00238
JensenLab Text Mining	Primordium	BTO:0001886	1.5	O00238
JensenLab Text Mining	Osteoblast	BTO:0001593	1.5	O00238
JensenLab Knowledge UniProtKB-RC	Retina	BTO:0001175	4	O00254
JensenLab Knowledge UniProtKB-RC	Thymus	BTO:0001374	4	O00254
JensenLab Experiment UniGene	Kidney	BTO:0000671	1	O00254
JensenLab Text Mining	HPAEC cell	BTO:0003151	1.6	O00254
JensenLab Knowledge UniProtKB-RC	Placenta	BTO:0001078	4	O00270
JensenLab Experiment HPA	Adrenal gland	BTO:0000047	1	O00270
JensenLab Experiment HPA	Breast	BTO:0000149	1	O00270
JensenLab Experiment HPA	Cerebellum	BTO:0000232	1	O00270
JensenLab Experiment HPA	Colon	BTO:0000269	1	O00270
JensenLab Experiment HPA	Duodenum	BTO:0000365	1	O00270
JensenLab Experiment HPA	Gall bladder	BTO:0000493	1	O00270
JensenLab Experiment HPA	Nasopharynx	BTO:0000662	1	O00270
JensenLab Experiment HPA	Lung	BTO:0000763	1	O00270
JensenLab Experiment HPA	Esophagus	BTO:0000959	1	O00270
JensenLab Experiment HPA	Parathyroid gland	BTO:0000997	1	O00270
JensenLab Experiment HPA	Skeletal muscle	BTO:0001103	1	O00270
JensenLab Experiment HPA	Seminal vesicle	BTO:0001234	1	O00270
JensenLab Experiment HPA	Skin	BTO:0001253	1	O00270
JensenLab Experiment HPA	Bronchus	BTO:0001340	1	O00270
JensenLab Experiment HPA	Thyroid gland	BTO:0001379	1	O00270
JensenLab Experiment HPA	Tonsil	BTO:0001387	1	O00270
JensenLab Knowledge UniProtKB-RC	Erythroleukemia cell	BTO:0000426	4	O00299
JensenLab Knowledge UniProtKB-RC	Liver	BTO:0000759	4	O00299
JensenLab Knowledge UniProtKB-RC	Lymphoma cell	BTO:0000785	4	O00299
JensenLab Knowledge UniProtKB-RC	Testis	BTO:0001363	4	O00299
JensenLab Knowledge UniProtKB-RC	Thymus	BTO:0001374	4	O00299
JensenLab Knowledge UniProtKB-RC	B-cell lymphoma cell	BTO:0001690	4	O00299
JensenLab Experiment Exon array	Vermiform appendix	BTO:0000084	2	O00299
JensenLab Experiment UniGene	Blood	BTO:0000089	3	O00299
JensenLab Experiment UniGene	Ascites	BTO:0000091	2	O00299
JensenLab Experiment UniGene	Bone	BTO:0000140	2	O00299
JensenLab Experiment GNF	Bone marrow	BTO:0000141	1	O00299
JensenLab Experiment UniGene	Brain	BTO:0000142	3	O00299
JensenLab Experiment RNA-seq	Colon	BTO:0000269	2	O00299
JensenLab Experiment GNF	Cytotoxic T-lymphocyte	BTO:0000289	1	O00299
JensenLab Experiment UniGene	Eye	BTO:0000439	1	O00299
JensenLab Experiment RNA-seq	Heart	BTO:0000562	2	O00299
JensenLab Experiment RNA-seq	Hypothalamus	BTO:0000614	1	O00299
JensenLab Experiment Exon array	Corpus callosum	BTO:0000615	1	O00299
JensenLab Experiment UniGene	Intestine	BTO:0000648	4	O00299
JensenLab Experiment GNF	Small intestine	BTO:0000651	1	O00299
JensenLab Experiment Exon array	Kidney	BTO:0000671	2	O00299
JensenLab Experiment UniGene	Lung	BTO:0000763	4	O00299
JensenLab Experiment GNF	Lymph node	BTO:0000784	1	O00299
JensenLab Experiment GNF	MOLT-4 cell	BTO:0000873	1	O00299
JensenLab Experiment GNF	Monocyte	BTO:0000876	2	O00299
JensenLab Experiment GNF	Natural killer cell	BTO:0000914	2	O00299
JensenLab Experiment RNA-seq	Ovary	BTO:0000975	2	O00299
JensenLab Experiment UniGene	Pancreas	BTO:0000988	4	O00299
JensenLab Experiment GNF	Pancreatic islet	BTO:0000991	1	O00299
JensenLab Experiment UniGene	Pharynx	BTO:0001049	1	O00299
JensenLab Experiment UniGene	Placenta	BTO:0001078	3	O00299
JensenLab Experiment UniGene	Vascular system	BTO:0001085	1	O00299
JensenLab Experiment Exon array	Skeletal muscle	BTO:0001103	1	O00299
JensenLab Experiment UniGene	Prostate gland	BTO:0001129	3	O00299
JensenLab Experiment UniGene	Skin	BTO:0001253	4	O00299
JensenLab Experiment Exon array	Spinal cord	BTO:0001279	1	O00299
JensenLab Experiment RNA-seq	Spleen	BTO:0001281	2	O00299
JensenLab Experiment UniGene	Stomach	BTO:0001307	3	O00299
JensenLab Experiment GNF	Thyroid gland	BTO:0001379	1	O00299
JensenLab Experiment GNF	Tonsil	BTO:0001387	1	O00299
JensenLab Experiment HPM	Urinary bladder	BTO:0001418	1	O00299
JensenLab Experiment UniGene	Uterine cervix	BTO:0001421	1	O00299
JensenLab Experiment Exon array	Adipose tissue	BTO:0001487	2	O00299
JensenLab Experiment GNF	Parenchyma	BTO:0001539	1	O00299
JensenLab Experiment GNF	Dendritic cell	BTO:0002042	2	O00299
JensenLab Experiment GNF	Helper T-lymphocyte	BTO:0002417	1	O00299
JensenLab Experiment GNF	Erythroid cell	BTO:0002731	1	O00299
JensenLab Experiment GNF	B-lymphoblastoid cell	BTO:0002878	2	O00299
JensenLab Experiment GNF	Bronchial epithelial cell	BTO:0002922	2	O00299
JensenLab Text Mining	Muscle	BTO:0000887	2.2	O00299
JensenLab Text Mining	Hca-F cell	BTO:0003642	1.9	O00299
JensenLab Knowledge UniProtKB-RC	Brain	BTO:0000142	4	O00305
JensenLab Knowledge UniProtKB-RC	Hippocampus	BTO:0000601	4	O00305
JensenLab Knowledge UniProtKB-RC	Amygdala	BTO:0001042	4	O00305
JensenLab Knowledge UniProtKB-RC	Spinal cord	BTO:0001279	4	O00305
JensenLab Experiment HPA	Adrenal gland	BTO:0000047	1	O00305
JensenLab Experiment HPA	Bone marrow	BTO:0000141	1	O00305
JensenLab Experiment Exon array	Cerebellum	BTO:0000232	1	O00305
JensenLab Experiment HPA	Cerebral cortex	BTO:0000233	1	O00305
JensenLab Experiment Exon array	Occipital lobe	BTO:0000293	1	O00305
JensenLab Experiment RNA-seq	Hypothalamus	BTO:0000614	1	O00305
JensenLab Experiment HPA	Esophagus	BTO:0000959	1	O00305
JensenLab Experiment Exon array	Parietal lobe	BTO:0001001	1	O00305
JensenLab Experiment HPA	Testis	BTO:0001363	1	O00305
JensenLab Experiment HPA	Tonsil	BTO:0001387	1	O00305
JensenLab Text Mining	bl20	CLDB:0000457	1.6	O00305
