uniprot	sym	idgfam	tdl	name
A5X5Y0	HTR3E	IC	Tchem	5-hydroxytryptamine receptor 3E
P34969	HTR7	GPCR	Tclin	5-hydroxytryptamine receptor 7
P25106	ACKR3	GPCR	Tchem	Atypical chemokine receptor 3
P30542	ADORA1	GPCR	Tclin	Adenosine receptor A1
Q07001	CHRND	IC	Tclin	Acetylcholine receptor subunit delta
P28221	HTR1D	GPCR	Tclin	5-hydroxytryptamine receptor 1D
P28566	HTR1E	GPCR	Tchem	5-hydroxytryptamine receptor 1E
P46098	HTR3A	IC	Tclin	5-hydroxytryptamine receptor 3A
O95264	HTR3B	IC	Tchem	5-hydroxytryptamine receptor 3B
Q70Z44	HTR3D	IC	Tchem	5-hydroxytryptamine receptor 3D
P47898	HTR5A	GPCR	Tchem	5-hydroxytryptamine receptor 5A
P50406	HTR6	GPCR	Tchem	5-hydroxytryptamine receptor 6
P29274	ADORA2A	GPCR	Tclin	Adenosine receptor A2a
P54619	PRKAG1	Kinase	Tbio	5'-AMP-activated protein kinase subunit gamma-1
Q13131	PRKAA1	Kinase	Tchem	5'-AMP-activated protein kinase catalytic subunit alpha-1
P00519	ABL1	Kinase	Tclin	Tyrosine-protein kinase ABL1
P30532	CHRNA5	IC	Tbio	Neuronal acetylcholine receptor subunit alpha-5
Q07912	TNK2	Kinase	Tchem	Activated CDC42 kinase 1
P54646	PRKAA2	Kinase	Tchem	5'-AMP-activated protein kinase catalytic subunit alpha-2
P32297	CHRNA3	IC	Tclin	Neuronal acetylcholine receptor subunit alpha-3
P36544	CHRFAM7A	IC	Tchem	Neuronal acetylcholine receptor subunit alpha-7
P02708	CHRNA1	IC	Tclin	Acetylcholine receptor subunit alpha
P17787	CHRNB2	IC	Tclin	Neuronal acetylcholine receptor subunit beta-2
O00590	ACKR2	GPCR	Tbio	Atypical chemokine receptor 2
P11229	CHRM1	GPCR	Tclin	Muscarinic acetylcholine receptor M1
P08173	CHRM4	GPCR	Tclin	Muscarinic acetylcholine receptor M4
P30926	CHRNB4	IC	Tclin	Neuronal acetylcholine receptor subunit beta-4
P11230	CHRNB1	IC	Tclin	Acetylcholine receptor subunit beta
P35348	ADRA1A	GPCR	Tclin	Alpha-1A adrenergic receptor
Q9GZZ6	CHRNA10	IC	Tbio	Neuronal acetylcholine receptor subunit alpha-10
P07510	CHRNG	IC	Tclin	Acetylcholine receptor subunit gamma
Q9NPB9	ACKR4	GPCR	Tbio	Atypical chemokine receptor 4
Q86TW2	ADCK1	Kinase	Tdark	Uncharacterized aarF domain-containing protein kinase 1
Q3MIX3	ADCK5	Kinase	Tdark	Uncharacterized aarF domain-containing protein kinase 5
P28335	HTR2C	GPCR	Tclin	5-hydroxytryptamine receptor 2C
Q15822	CHRNA2	IC	Tchem	Neuronal acetylcholine receptor subunit alpha-2
P43681	CHRNA4	IC	Tclin	Neuronal acetylcholine receptor subunit alpha-4
Q15825	CHRNA6	IC	Tchem	Neuronal acetylcholine receptor subunit alpha-6
Q9UGM1	CHRNA9	IC	Tbio	Neuronal acetylcholine receptor subunit alpha-9
Q05901	CHRNB3	IC	Tchem	Neuronal acetylcholine receptor subunit beta-3
P35368	ADRA1B	GPCR	Tclin	Alpha-1B adrenergic receptor
P55263	ADK	Kinase	Tchem	Adenosine kinase
P13945	ADRB3	GPCR	Tclin	Beta-3 adrenergic receptor
P08908	HTR1A	GPCR	Tclin	5-hydroxytryptamine receptor 1A
